Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Market Cap at Offer (M),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate,Trade Month,Trade Day,Trade Year,Underpriced
KROS US,Keros Therapeutics Inc,,-292.2,-33.9,110.4,20.0894,16.0,321.43,492327101,-2.6,110.4,20.0894,87.9988,24237700.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.06,-0.668694186699718,71.8,14.8,4,8,2020,1
KRP US,Kimbell Royalty Partners LP,49.8,25.0,15.5,90.0,16.3327,18.0,293.989,49435R102,2.2,90.0,16.3327,38.0697,24110200.0,19 - 21,Priced Below Range,Energy,Oil&Gas,Oil-US Royalty Trusts,0.66,0.3146117386416659,96.3,4.6,2,3,2017,1
KRTX US,Karuna Therapeutics Inc,,-389.0,-25.7,102.637,22.2096,16.0,355.354,48576A100,-3.4,102.637,22.2096,107.229,36846900.0,15 - 17,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.4,0.0199147181481603,98.2,3.6,6,28,2019,1
KRUS US,Kura Sushi USA Inc,43.6,-15.8,-2.1,46.69,7.335,14.0,102.69,501270102,2.4,46.69,7.335,66.076,5807330.0,14 - 16,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Restaurants,2.14,-0.0050668236082817,89.8,3.6,8,1,2019,1
KRYS US,Krystal Biotech Inc,,,-25.2,45.54,10.2372,10.0,102.372,501147102,-2.1,45.54,10.2372,88.5996,22812300.0,11-Sep,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.16,0.5294905893230339,95.1,4.3,9,20,2017,1
KSP US,Kirby Offshore Marine LLC,,,-10.4,97.8775,4.165,23.5,97.88,48268Y101,,97.8775,4.165,,,21.50 - 23.50,Priced Within Range,Industrial,Transportation,Transport-Marine,0.94,0.4883342376559899,103.8,5.7,1,9,2004,1
KTWO US,K2M Group Holdings Inc,9.0,-14.4,-11.6,147.375,37.0859,15.0,556.29,48273J107,-0.3,147.375,37.0859,2.80751,1227920.0,16 - 18,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,0.09,0.3492609840048699,81.9,6.3,5,8,2014,0
KURA US,Kura Oncology Inc,,,-26.8,55.068,21.3917,8.0,171.134,50127T109,-1.5,55.068,21.3917,107.125,71663600.0,,,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.07,-0.2110680379081459,91.3,5.1,11,5,2015,1
KWACU US,Kingswood Acquisition Corp,,,-0.3,115.0,11.58,10.0,115.8,496861204,-0.0427765,115.0,11.58,5.85686,679630.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,-0.0610627217844137,76.9,6.7,11,20,2020,1
KYAK US,KAYAK Software Corp,30.3,6.4,4.6,104.65,4.333,26.0,112.66,486577109,2.0,104.65,4.333,,,22 - 25,Priced Above Range,Communications,Internet,E-Commerce/Services,0.09,-0.162978586182561,72.3,8.2,7,20,2012,1
KYE US,Kayne Anderson Energy Total Re,,,,750.0,0.0,25.0,0.0,48660P104,,750.0,0.0,7.15887,2582600.0,25 - 25,Priced Within Range,Funds,Equity Fund,Unclassified,3.02,0.0514403292181003,96.0,5.0,6,28,2005,0
KYMR US,Kymera Therapeutics Inc,114.0,-137.6,-24.0,199.75,44.5295,20.0,890.59,501575104,-2.6,199.75,44.5295,101.354,55607500.0,16 - 18,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.1,0.315321052408127,74.1,8.4,8,21,2020,1
KYN US,Kayne Anderson Energy Infrastr,,,,750.0,0.0,25.0,0.0,486606106,,750.0,0.0,28.9197,36536300.0,,,Financial,Closed-end Funds,Closed-end Funds,1.53,0.2110817941952519,94.2,5.4,9,28,2004,0
KYPH US,Kyphon Americas Inc,33.2,9.7,-8.5,103.5,35.6446,15.0,534.67,501577100,1.2,103.5,35.6446,,,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,1.88,0.0,96.9,5.8,5,17,2002,1
KYTH US,Kythera Biopharmaceuticals LLC,,,-67.4,80.0,17.9656,16.0,287.45,501570105,-2.6,80.0,17.9656,,,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.15,-0.0388925140553232,82.6,7.8,10,11,2012,1
KZR US,Kezar Life Sciences Inc,,,-26.6,86.25,19.0715,15.0,286.072,49372L100,-0.8,86.25,19.0715,104.036,71138000.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.7,0.1593875701543719,98.2,4.0,6,21,2018,1
LAB US,Standard BioTools Inc,-5.4,-45.3,-51.2,86.2938,19.4234,13.5,262.22,34385P108,-0.5,86.2938,19.4234,77.5538,61497400.0,13.50 - 15.50,Priced Within Range,Industrial,Electronics,Instruments-Scientific,0.18,0.493136502545162,77.5,9.0,2,10,2011,1
LABC US,Louisiana Bancorp Inc/Metaire,-3.0,23.1,0.8,60.95,0.0,10.0,0.0,54619P104,2.4,60.95,0.0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Southern US,5.31,-0.0254377207802054,90.4,4.7,7,10,2007,1
LACQU US,Ensysce Biosciences Inc,,,,200.0,20.0,10.0,200.0,52539T206,-0.1,200.0,20.0,,,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.16,-0.05878322772623,95.9,4.1,12,1,2017,0
LADR US,Ladder Capital Corp,-5.7,15.8,1.9,259.038,50.6015,17.0,860.23,505743104,0.6,259.038,50.6015,62.7404,79407000.0,16 - 18,Priced Within Range,Financial,REITS,REITS-Mortgage,0.07,0.3697908650968729,81.6,6.7,2,6,2014,0
LAND US,Gladstone Land Corp,32.0,4.6,0.4,56.7035,6.5302,15.0,97.95,376549101,1.0,56.7035,6.5302,48.1787,16719900.0,15 - 15,Priced Within Range,Financial,REITS,REITS-Diversified,0.09,0.295730419292604,73.8,8.0,1,29,2013,0
LASR US,nLight Inc,21.2,-10.9,-11.1,110.4,34.5212,16.0,552.339,65487K100,-0.1,110.4,34.5212,94.9685,43027500.0,13 - 15,Priced Above Range,Industrial,Electrical Compo&Equip,Electric Products-Misc,1.67,0.3975091563348929,98.8,4.0,4,26,2018,1
LATNU US,Union Acquisition Corp II,,,,200.0,20.0,10.0,200.0,N.A.,,200.0,20.0,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,1.88,0.2286190552229999,95.5,3.6,10,18,2019,1
LAUR US,Laureate Education Inc,6.0,17.7,1.8,490.0,35.0,14.0,490.0,518613203,-0.8,490.0,35.0,94.3077,155277000.0,17 - 20,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Schools,0.66,0.3146117386416659,96.3,4.6,2,1,2017,0
LAVA US,Magma Design Automation Inc,,,6.1,72.5075,28.8175,13.0,374.63,559181102,,72.5075,28.8175,,,12-Nov,Priced Above Range,Technology,Software,Applications Software,2.61,-0.1688238604389349,83.9,5.5,11,20,2001,1
LAZ US,Lazard Ltd,23.6,16.1,8.1,854.58,37.5,25.0,937.5,N.A.,8.1,854.58,37.5,71.9592,81145600.0,25 - 27,Priced Within Range,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,2.97,-0.1027749229187949,86.9,5.1,5,5,2005,0
LBC US,Luther Burbank Corp,-5.7,50.9,1.1,150.204,55.9725,10.75,601.704,550550107,2.0,150.204,55.9725,15.3755,7853000.0,10.50 - 12.50,Priced Within Range,Financial,Banks,Commer Banks-Western US,1.16,-0.05878322772623,95.9,4.1,12,8,2017,1
LBRT US,Liberty Energy Inc,155.8,-7.2,8.5,248.894,70.8848,17.0,1205.04,53115L104,0.7,248.894,70.8848,99.3812,181032000.0,14 - 16,Priced Above Range,Energy,Oil&Gas Services,Oil-Field Services,1.33,0.5447745452775409,95.7,4.0,1,12,2018,1
LC US,LendingClub Corp,91.8,2.0,5.1,1000.5,369.812,15.0,5547.18,52603A208,2.4,1000.5,369.812,83.4935,87742300.0,14-Dec,Priced Above Range,Financial,Diversified Finan Serv,Finance-Consumer Loans,0.13,-0.567010091001089,93.6,5.6,12,11,2014,1
LCAPU US,MSP Recovery Inc,,,0.0246908,230.0,23.65,10.0,236.5,53625R203,-0.0358422,230.0,23.65,,,10-Oct,Priced Within Range,Financial,Diversified Finan Serv,Finance-Other Services,0.1,0.315321052408127,74.1,8.4,8,14,2020,0
LCM US,Advent/Claymore Enhanced Growt,,,,265.0,0.0,20.0,0.0,7.65E+106,,265.0,0.0,6.24082,573035.0,20 - 20,Priced Within Range,Funds,Asset Allocation Fund,Unclassified,1.97,0.2101944298475958,95.5,5.3,1,27,2005,0
LCYAU US,Hillman Solutions Corp,,-2.6,-1.2,500.0,50.0,10.0,500.0,51476H209,-0.8,500.0,50.0,3.0064,1503200.0,10-Oct,Priced Within Range,Industrial,Metal Fabricate/Hardware,Metal Processors&Fabrica,0.09,0.0414937759336148,81.8,6.9,10,9,2020,0
LDIS US,Leadis Technology Inc,,,-40.2,84.0,27.4151,14.0,383.81,52171N103,,84.0,27.4151,,,14-Dec,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon,1.02,0.3172924378635659,95.6,5.6,6,16,2004,0
LDOS US,Leidos Holdings Inc,11.7,5.4,5.1,1293.75,86.25,15.0,1293.75,525327102,7.3,1293.75,86.25,87.772,119975000.0,13 - 15,Priced Within Range,Technology,Computers,Computer Services,5.34,-0.542138984721521,93.6,4.4,10,13,2006,1
LDP US,Cohen & Steers Limited Duratio,,,,723.229,0.0,25.0,0.0,19248C105,,723.229,0.0,26.5959,7667750.0,25 - 25,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.09,-0.162978586182561,72.3,8.2,7,27,2012,1
LDRH US,LDR Holding Corp,16.4,-9.6,-10.6,86.25,23.4072,15.0,351.11,50185U105,-0.7,86.25,23.4072,,,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,0.08,-0.2575283259804639,73.2,7.2,10,9,2013,1
LEAF US,Leaf Group Ltd,36.8,-4.1,-4.3,173.995,83.3,17.0,1416.1,52177G102,0.4,173.995,83.3,28.9569,10433800.0,14 - 16,Priced Above Range,Communications,Internet,E-Commerce/Services,0.13,0.4763230053974139,74.2,9.1,1,26,2011,1
LEAP/U US,Ribbit LEAP Ltd,,,17.2,402.5,40.25,10.0,402.5,N.A.,,402.5,40.25,0.500269,206386.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.13927469432666,80.4,7.8,9,11,2020,1
LEDR US,Market Leader Inc,32.2,-17.3,-22.6,93.75,24.8138,15.0,372.21,57056R103,0.0647549,93.75,24.8138,,,12-Oct,Priced Above Range,Technology,Software,Enterprise Software/Serv,2.04,-0.3664921465968529,97.1,5.4,12,10,2004,1
LEGH US,Legacy Housing Corp,11.7,25.2,15.7,55.2,24.6,12.0,295.2,52472M101,2.4,55.2,24.6,24.387,5951900.0,10.75 - 12.75,Priced Within Range,Financial,Real Estate,Real Estate Oper/Develop,2.2,-0.319396281513109,98.3,3.9,12,14,2018,1
LEGN US,Legend Biotech Corp,18.6,-430.1,-41.7,487.342,21.1888,23.0,487.342,52490G102,-0.7,487.342,21.1888,40.2116,65984000.0,18 - 20,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.05,0.5472046927775109,78.1,11.0,6,5,2020,1
LENSF US,Presbia PLC,50.0,-40071.4,-113.9,41.667,13.333,10.0,133.33,N.A.,-0.9,41.667,13.333,14.437,2487450.0,13-Nov,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,0.06,-0.4705892373473239,98.1,5.7,1,29,2015,0
LESL US,Leslie's Inc,20.7,9.4,13.7,782.0,186.606,17.0,3172.31,527064109,0.9,782.0,186.606,145.353,266036000.0,14 - 16,Priced Above Range,"Consumer, Cyclical",Retail,Retail-Misc/Diversified,0.09,0.0414937759336148,81.8,6.9,10,29,2020,1
LEVI US,Levi Strauss & Co,29.4,9.6,9.6,716.834,42.1667,17.0,716.834,52736R102,1.8,716.834,42.1667,93.0007,90012900.0,14 - 16,Priced Above Range,"Consumer, Cyclical",Apparel,Apparel Manufacturers,2.4,0.564135835680577,98.4,3.8,3,21,2019,1
LEVL US,Level One Bancorp Inc,-2.9,32.1,1.3,38.64,7.5344,28.0,210.963,52730D208,7.2,38.64,7.5344,7.13804,555882.0,27 - 29,Priced Within Range,Financial,Banks,Commer Banks-Central US,1.67,0.3975091563348929,98.8,4.0,4,20,2018,1
LEXR US,Lexar Media Inc,,,-19.7,52.0,59.0318,8.0,472.25,52886P104,,52.0,59.0318,,,12-Oct,Priced Below Range,Technology,Computers,Computers-Memory Devices,6.51,0.0,107.3,4.1,8,15,2000,0
LF US,LeapFrog Enterprises Inc,,-64.5,-67.6,134.55,12.0794,13.0,157.03,52186N106,-0.9,134.55,12.0794,0.00545579,3633.0,13 - 16,Priced Within Range,"Consumer, Cyclical",Toys/Games/Hobbies,Toys,1.83,0.1111728738187739,88.1,5.8,7,24,2002,1
LFT US,Lument Finance Trust Inc,11.3,29.0,1.1,60.4995,7.38925,15.0,110.84,55025L108,0.5,60.4995,7.38925,21.784,11378100.0,15 - 15,Priced Within Range,Financial,REITS,REITS-Mortgage,0.14,0.2614508584374949,78.6,7.5,3,22,2013,0
LFTRU US,Lefteris Acquisition Corp,,,4.1,207.099,23.2099,10.0,225.0,52470X208,-0.0445215,207.099,23.2099,16.5111,3419430.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0414937759336148,81.8,6.9,10,21,2020,0
LGC/U US,PARTS iD Inc,11.9,-1.7,-26.8,300.0,30.0,10.0,300.0,524643202,0.2,300.0,30.0,,,10-Oct,Priced Within Range,Communications,Internet,E-Commerce/Products,1.16,0.0024324685907436,98.5,4.2,11,17,2017,0
LGI US,Lazard Global Total Return and,,,,192.0,0.0,20.0,0.0,52106W103,,192.0,0.0,30.5664,3977590.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.03,0.320170757737461,94.2,5.6,4,28,2004,0
LGIH US,LGI Homes Inc,28.8,14.0,15.3,99.0,19.4134,11.0,213.55,50187T106,0.8,99.0,19.4134,96.7592,22535500.0,13 - 15,Priced Below Range,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,0.08,-0.204242419052338,75.1,6.9,11,7,2013,1
LGVW/U US,Butterfly Network Inc,35.2,-51.8,-9.0,404.0,40.4,10.0,404.0,543195200,-1.0,404.0,40.4,0.157935,65385.0,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,0.05,0.0019501616684046,72.3,13.2,5,21,2020,0
LHCG US,LHC Group Inc,7.5,5.2,2.2,77.28,16.5919,14.0,232.29,50187A107,-3.2,77.28,16.5919,93.3278,28962400.0,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Medical-Outptnt/Home Med,3.02,0.0514403292181003,96.0,5.0,6,9,2005,1
LIA/U US,Liberty Acquisition Holdings C,,,-1.3,1035.0,0.0,10.0,0.0,53015Y206,0.0072059,1035.0,0.0,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,4.66,-0.0670863129647814,75.5,5.0,12,7,2007,0
LIFE US,aTyr Pharma Inc,,,-56.2,86.296,23.3537,14.0,315.696,2120202,-1.7,86.296,23.3537,67.2251,19501600.0,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Therapeutics,0.13,0.509723202549469,90.7,5.6,5,7,2015,1
LIMC US,Limco-Piedmont Inc,,,2.0,55.66,13.425,11.0,147.68,53261T109,,55.66,13.425,,,9.50 - 11.50,Priced Within Range,Industrial,Aerospace/Defense,Aerospace/Defense-Equip,5.31,-0.0254377207802054,90.4,4.7,7,19,2007,1
LINC US,Lincoln Educational Services C,14.4,10.3,10.2,83.5485,24.711,20.0,494.22,533535100,1.0,83.5485,24.711,81.962,21519600.0,19 - 21,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Schools,3.02,0.0514403292181003,96.0,5.0,6,22,2005,1
LINEQ US,Linn Energy LLC,-25.7,-165.0,-36.3,261.45,27.8125,21.0,584.06,536020100,3.6,261.45,27.8125,,,19 - 21,Priced Within Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,4.09,0.7621951219512159,91.2,4.7,1,13,2006,1
LIQDQ US,Liquid Holdings Group Inc,106.1,-971.4,-61.6,28.575,24.4581,9.0,220.12,53633A101,-0.6,28.575,24.4581,1.54057,929462.0,11-Sep,Priced Within Range,Technology,Software,Enterprise Software/Serv,0.1,0.039399753323301,85.1,7.3,7,26,2013,0
LIVKU US,AgileThought Inc,,-12.6,-13.2,80.5,8.05,10.0,80.5,N.A.,-0.6,80.5,8.05,0.13513,10878.0,10-Oct,Priced Within Range,Technology,Computers,Computer Services,1.56,-0.0909769525053792,99.3,3.6,12,11,2019,1
LKQ US,LKQ Corp,12.5,8.3,9.8,104.65,19.1199,13.0,248.56,501889208,4.6,104.65,19.1199,113.68,303724000.0,13-Nov,Priced Within Range,"Consumer, Cyclical",Distribution/Wholesale,Distribution/Wholesale,1.11,-0.1079913606911449,89.6,6.0,10,3,2003,1
LL US,LL Flooring Holdings Inc,4.9,3.6,2.1,110.0,26.7521,11.0,294.27,55003T107,1.3,110.0,26.7521,81.7832,23964000.0,14-Dec,Priced Below Range,"Consumer, Cyclical",Retail,Retail-Floor Coverings,4.59,0.5939617873415811,76.1,4.7,11,9,2007,0
LLAQU US,L&L Acquisition Corp,,,,40.0,5.0,10.0,50.0,50161R209,,40.0,5.0,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.2,0.0420646423819506,71.6,9.8,11,22,2010,0
LMAT US,LeMaitre Vascular Inc,19.3,17.4,7.1,38.5,15.2721,7.0,106.9,525558201,1.6,38.5,15.2721,94.5968,20812100.0,10-Aug,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,5.34,-0.542138984721521,93.6,4.4,10,19,2006,0
LMFAU US,LM Funding America Inc,-28.8,529.4,-25.3,12.0,0.0,10.0,0.0,502074206,,12.0,0.0,,,10-Oct,Priced Within Range,Financial,Diversified Finan Serv,Finance-Commercial,0.13,-0.0449683750446447,90.0,5.0,10,23,2015,1
LMND US,Lemonade Inc,36.0,-187.9,-18.8,366.85,56.5462,29.0,1639.84,52567D107,-2.3,366.85,56.5462,35.9863,24889500.0,26 - 28,Priced Above Range,Financial,Insurance,Property/Casualty Ins,0.08,0.5058243501670088,72.5,10.2,7,2,2020,1
LMNE US,Luminent Inc,90.2,-52.3,,144.0,156.0,12.0,1872.0,55027R103,0.0923069,144.0,156.0,,,13 - 15,Priced Below Range,Communications,Telecommunications,Telecom Eq Fiber Optics,6.61,0.0574712643678087,107.6,3.9,11,10,2000,1
LMNX US,Luminex Corp,24.7,3.6,3.4,76.5,26.6761,17.0,453.49,5.50E+106,1.1,76.5,26.6761,1.47602,698334.0,17 - 19,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,5.78,0.8244994110718371,107.1,4.0,3,30,2000,1
LMPX US,LMP Automotive Holdings Inc,180.3,-15.8,-7.9,13.225,8.6466,5.0,43.233,53952P101,-0.6,13.225,8.6466,0.429581,46862.0,6-May,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Automobile,1.56,-0.0909769525053792,99.3,3.6,12,5,2019,1
LMRK US,Landmark Infrastructure Partne,9.5,49.4,2.2,52.25,4.8027,19.0,89.3513,51508J108,1.6,52.25,4.8027,26.2536,6691790.0,19 - 21,Priced Within Range,Financial,Real Estate,Real Estate Oper/Develop,0.07,-0.5399417941061189,88.8,5.8,11,14,2014,1
LMST US,Limestone Bancorp Inc,1.3,28.3,1.1,37.2,7.6217,24.0,182.92,53262L105,2.9,37.2,7.6217,43.688,2900390.0,23 - 26,Priced Within Range,Financial,Banks,Commer Banks-Southern US,5.25,-0.490436488474757,85.4,4.5,9,22,2006,0
LNCOQ US,LinnCo LLC,,,-220.3,1269.74,30.25,36.5,1104.12,535782106,0.9,1269.74,30.25,0.00273799,6890.0,,,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.15,-0.0388925140553232,82.6,7.8,10,12,2012,1
LNFA/U US,ZeroFox Holdings Inc,,,,172.5,17.25,10.0,150.0,N.A.,,172.5,17.25,0.0123246,2126.0,10-Oct,Priced Within Range,Technology,Computers,Computer Data Security,0.09,-0.0610627217844137,76.9,6.7,11,19,2020,0
LNKD US,LinkedIn Corp,34.8,-5.5,-2.3,405.72,95.6747,45.0,4305.36,53578A108,6.2,405.72,95.6747,0.140194,169471.0,42 - 45,Priced Within Range,Communications,Internet,Internet Content-Info/Ne,0.09,0.4704187527233639,74.3,9.0,5,19,2011,1
LNTE US,Lante Corp,-44.9,-45.7,-45.8,80.0,38.4899,20.0,769.798,516540101,-0.4,80.0,38.4899,,,17 - 19,Priced Above Range,Technology,Computers,Computer Services,5.79,0.592417061611377,111.3,4.1,2,11,2000,1
LNTH US,Lantheus Holdings Inc,25.2,-16.7,11.0,73.539,27.8453,6.0,167.072,516544103,0.8,73.539,27.8453,107.712,74140100.0,8.50 - 10.50,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Imaging Systems,0.12,0.3502869998528119,96.1,5.3,6,25,2015,1
LOAK/U US,Danimer Scientific Inc,24.1,-102.3,-8.6,200.0,20.0,10.0,200.0,53804F202,-0.6,200.0,20.0,12.5664,2513290.0,10-Oct,Priced Within Range,Basic Materials,Chemicals,Chemicals-Specialty,0.05,0.0019501616684046,72.3,13.2,5,6,2020,0
LOB US,Live Oak Bancshares Inc,39.2,36.5,2.3,93.5,34.1549,17.0,580.633,53803X105,-2.7,93.5,34.1549,73.2272,32208500.0,16 - 18,Priced Within Range,Financial,Banks,Commer Banks-Southern US,0.13,0.0067047159295661,93.1,5.2,7,23,2015,1
LOCK US,LifeLock Inc,23.4,-8.6,2.9,141.3,86.3084,9.0,776.78,53224V100,-0.0401488,141.3,86.3084,,,9.50 - 11.50,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Security Services,0.15,-0.0388925140553232,82.6,7.8,10,3,2012,0
LOCM US,Local Corp,-11.9,-6.6,-16.5,25.296,5.84274,8.0,46.74,53954W104,0.2,25.296,5.84274,,,10-Aug,Priced Within Range,Communications,Internet,E-Marketing/Info,1.86,0.5265929436545569,91.7,5.5,10,19,2004,0
LOCO US,El Pollo Loco Holdings Inc,6.6,6.4,3.3,123.215,36.9298,15.0,553.95,268603107,1.4,123.215,36.9298,94.5303,35022700.0,13 - 15,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Restaurants,0.1,-0.0390193964161092,81.8,6.2,7,25,2014,1
LOGC US,LogicBio Therapeutics Inc,56.6,-739.9,-49.5,80.5,22.9878,10.0,229.878,54142F102,-0.5,80.5,22.9878,53.0859,17498600.0,14-Dec,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.18,0.1766763455725869,98.6,3.8,10,19,2018,1
LOGM US,GoTo Group Inc,4.6,-1.1,0.2,122.667,22.3833,16.0,358.13,54142L109,7.2,122.667,22.3833,20.7433,10170000.0,14 - 16,Priced Within Range,Communications,Telecommunications,Networking Products,0.2,-0.158558692215323,66.0,9.5,7,1,2009,1
LOKB/U US,Navitas Semiconductor Corp,100.3,-643.2,-0.7,253.0,25.3,10.0,220.0,53804W205,,253.0,25.3,11.7787,2980000.0,10-Oct,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon,0.09,0.0941478467042596,80.7,6.7,12,3,2020,1
LOPE US,Grand Canyon Education Inc,6.2,29.0,16.1,144.9,45.3065,12.0,543.68,38526M106,7.1,144.9,45.3065,118.878,37027000.0,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Schools,0.22,-1.9152895328595805,55.3,6.8,11,20,2008,0
LOR US,Lazard World Dividend & Income,,,,134.8,0.0,20.0,0.0,521076109,,134.8,0.0,20.0756,1381240.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,3.02,0.0514403292181003,96.0,5.0,6,28,2005,1
LOUD US,Loudeye Corp,,,-22.1,72.0,34.8569,16.0,557.71,545754202,,72.0,34.8569,,,13 - 15,Priced Above Range,Technology,Software,Computer Software,5.78,0.8244994110718371,107.1,4.0,3,14,2000,1
LOVE US,Lovesac Co/The,55.3,9.2,13.5,64.4,13.4519,16.0,215.23,54738L109,2.2,64.4,13.4519,98.7053,14987800.0,13 - 15,Priced Above Range,"Consumer, Cyclical",Home Furnishings,Home Furnishings,1.7,0.1593875701543719,98.2,4.0,6,27,2018,1
LOXO US,Loxo Oncology Inc,,-698.9,-11.7,76.7455,16.583,13.0,207.23,548862101,3.8,76.7455,16.583,0.63582,195544.0,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,-0.1670514165792189,82.5,6.1,8,1,2014,0
LPDX US,LipoScience Inc,-4.4,-23.9,-19.1,51.75,14.6388,9.0,131.75,53630M108,-0.6,51.75,14.6388,,,10-Sep,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Kits,0.09,0.295730419292604,73.8,8.0,1,25,2013,1
LPG US,Dorian LPG Ltd,-56.6,26.2,6.4,139.665,57.1285,19.0,1085.44,N.A.,2.9,139.665,57.1285,67.4494,27216200.0,18 - 20,Priced Within Range,Industrial,Transportation,Transport-Marine,0.09,0.3492609840048699,81.9,6.3,5,8,2014,0
LPI US,Laredo Petroleum Inc,105.8,10.4,28.8,342.125,127.625,17.0,2169.62,516806205,34.8,342.125,127.625,93.3644,15697900.0,18 - 20,Priced Below Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.08,-0.2466516377138169,69.9,8.5,12,15,2011,1
LPLA US,LPL Financial Holdings Inc,31.4,5.9,7.3,516.696,107.184,30.0,3215.52,50212V100,5.6,516.696,107.184,114.618,91236400.0,27 - 30,Priced Within Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,0.2,0.0420646423819506,71.6,9.8,11,18,2010,1
LPSB US,LaPorte Bancorp Inc,5.9,24.1,0.8,12.9922,0.0,10.0,0.0,516651106,0.7,12.9922,0.0,100.0,5580120.0,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Central US,4.92,0.2139191328121169,80.9,4.7,10,15,2007,0
LPSN US,LivePerson Inc,28.1,-26.6,-21.6,32.0,29.3399,8.0,234.72,538146101,0.0466482,32.0,29.3399,96.8037,72920300.0,10-Oct,Priced Below Range,Technology,Software,Enterprise Software/Serv,6.17,0.058411214953279,109.2,3.8,4,7,2000,1
LPTV US,Loop Media Inc,-49.6,-130.7,,0.9111,0.0,0.0,0.0,54352F206,-0.000444102,0.9111,0.0,0.596858,338396.0,0.10 - 0.10,,"Consumer, Cyclical",Entertainment,Music,0.13,-0.341709643711866,92.6,5.0,12,18,2015,0
